# Round all coordinates to nearest six digits, no decimal.										10
#0	1	2	3	4	5	6	7	8		
 #xy	x	y	Easting	Northing	Street Name	Post Code	Ward	Proper MAGPI area	place	
529379187297	529379	187297	529379	187297	Gladsmuir Road	N19 3JX	Hillrise	North		
529380186723	529380	186723	529380.1	186723.5	Junction Road	N19 5QT	Junction	North		
529380186733	529380	186733	529380	186733	Junction Road	N19 5QT	Junction	North		
529382186024	529382	186024	529382	186024	Huddleston Road	N7 0EG	Junction	North		
529384186732	529384	186732	529384	186732	Junction Road		Junction	North		
529387187359	529387	187359	529387	187359	Gladsmuir Road	N19 3JY	Hillrise	North		
529388186582	529388	186582	529388	186582	Bovingdon Close	N19 5SN	Junction	North		
529388186687	529388	186687	529388	186687	Hargrave Road	N19 5SJ	Junction	North		
529391187310	529391	187310	529391	187310	Gladsmuir Road	N19 3JU	Hillrise	North		
529408185553	529408	185553	529408	185553	Anson Road	N7 0RG	St George's	#N/A		
529420185952	529420	185952	529420	185952	Huddleston Road	N7 0EH	Junction	North		
529449185599	529449	185599	529449	185599	Anson Road	N7 0RG	St George's	#N/A		
529449187411	529449	187411	529449	187411	Gladsmuir Road	N19 3JY	Hillrise	North		
529450187654	529450	187654	529450	187654	Ashmount Road	N19 3BH	Hillrise	North		
529455187393	529455	187393	529455	187393	Gladsmuir Road	N19 3JU	Hillrise	North		
529465186456	529465	186456	529465	186456	Pemberton Gardens	N19 5RT	Junction	North		
529467185567	529467	185567	529467	185567	Anson Road		St George's	#N/A		
529475186749	529475	186749	529475	186749	Witley Road	N19 5SQ	Junction	North		
529477186459	529477	186459	529477	186459	Pemberton Gardens	N19 5RT	Junction	North		
529482187367	529482	187367	529482	187367	Harberton Road	N19 3JP	Hillrise	North		
529487186263	529487	186263	529487.5	186263	Station Road	N19 5UN	Junction	North		
529492185804	529492	185804	529492	185804	Huddleston Road	N7 0AE	St George's	#N/A		
529499186636	529499	186636	529499	186636	Hargrave Road	N19 5SR	Junction	North		
529503185469	529503	185469	529503	185469	Brecknock Road	N19 5AR	St George's	#N/A		
529503187360	529503	187360	529503	187360	Harberton Road	N19 3JS	Hillrise	North		
529505185591	529505	185591	529505	185591	Brecknock Road	N19 5AX	St George's	#N/A		
529507186469	529507	186469	529507	186469	Pemberton Gardens	N19 5RS	Junction	North		
529512187398	529512	187398	529512	187398	Cheverton Road	N19 3BA	Hillrise	North		
529513186159	529513	186159	529513	186159	Foxham Road	N19 4RR	Junction	North		
529531186737	529531	186737	529531.8	186737.5	Holloway Road	N19 5SE	Junction	North		
529534185442	529534	185442	529534	185442	Carleton Road	N19 5AJ	St George's	#N/A		
529538187641	529538	187641	529538	187641	Hazellville Road	N19 3YJ	Hillrise	North		
529539186070	529539	186070	529539	186070	Tytherton Road	N19 4QE	Junction	North		
529542186892	529542	186892	529542.6	186892.2	Giesbach Road		Junction	North		
529546187061	529546	187061	529546	187061	St John's Way	N19 3QU	Hillrise	North		
529547186703	529547	186703	529547	186703	Hargrave Road	N19 5SR	Junction	North		
529574186874	529574	186874	529574	186874	Boothby Road		Junction	North		
529576187638	529576	187638	529576	187638	Hazellville Road		Hillrise	North		
529583187369	529583	187369	529583	187369	Cardinals Way	N19 3UZ	Hillrise	North		
529588186625	529588	186625	529588	186625	St John's Grove	N19 5RW	Junction	North		
529589187368	529589	187368	529589	187368	Cardinals Way	N19 3UZ	Hillrise	North		
529591186317	529591	186317	529591	186317	Station Road	N19 5UN	Junction	North		
529591187053	529591	187053	529591	187053	Levison Way	N19 3XE	Junction	North		
529599187374	529599	187374	529599	187374	Cardinals Way	N19 3UZ	Hillrise	North		
529604185433	529604	185433	529604	185433	Hilldrop Road	N7 0QS	St George's	#N/A		
529612187068	529612	187068	529612	187068	Levison Way	N19 3XE	Junction	North		
529614187663	529614	187663	529614	187663	Hazellville Road	N19 3BP	Hillrise	North		
529617187540	529617	187540	529617	187540	Dresden Road		Hillrise	North		
529620185368	529620	185368	529620	185368	Hilldrop Road	N7 0QU	St George's	#N/A		
529626186890	529626	186890	529626	186890	Elthorne Road		Junction	North		
529633185399	529633	185399	529633	185399	Hilldrop Road	N7 0QL	St George's	#N/A		
529636185463	529636	185463	529636	185463	Hilldrop Road	N7 0QJ	St George's	#N/A		
529639186573	529639	186573	529639	186573	Pemberton Gardens	N19 5RR	Junction	North		
529647186643	529647	186643	529647	186643	St John's Grove	N19 5RW	Junction	North		
529651187461	529651	187461	529651	187461	Cheverton Road	N19 3BB	Hillrise	North		
529658185966	529658	185966	529658	185966	Tufnell Park Road	N7 0DZ	St George's	#N/A		
529660185345	529660	185345	529660	185345	Hilldrop Road		St George's	#N/A		
529667186981	529667	186981	529667	186981	Turpin Way	N19 3XB	Junction	North		
529668186935	529668	186935	529668	186935	Turpin Way	N19 3XD	Junction	North		
529670186985	529670	186985	529670	186985	Turpin Way	N19 3XB	Junction	North		
529672187424	529672	187424	529672	187424	Pilgrims Way	N19 3UX	Hillrise	North		
529686185445	529686	185445	529686	185445	Hilldrop Road	N7 0QN	St George's	#N/A		
529686185446	529686	185446	529686	185446	Hilldrop Road	N7 0QN	St George's	#N/A		
529688187066	529688	187066	529688	187066	Holland Walk	N19 3XT	Hillrise	North		
529689185930	529689	185930	529689	185930	Tufnell Park Road		St George's	#N/A		
529703186078	529703	186078	529703	186078	Dalmeny Road		Junction	North		
529715187697	529715	187697	529715	187697	Sunnyside Road	N19 3SL	Hillrise	North		
529722187345	529722	187345	529722	187345	Cardinals Way	N19 3UY	Hillrise	North		
529738186865	529738	186865	529738	186865	St John's Villas	N19 3EE	Junction	North		
529743186828	529743	186828	529743	186828	St John's Villas	N19 3EG	Junction	North		
529750185518	529750	185518	529750	185518	Hilldrop Road	N7 0JG	St George's	#N/A		
529757187313	529757	187313	529757	187313	Mulkern Road	N19 3GG	Hillrise	North		
529763186346	529763	186346	529763	186346	Yerbury Road	N19 4RS	Junction	North		
529763186382	529763	186382	529763	186382	Holloway Road		Junction	North		
529765187342	529765	187342	529765	187342	St John's Way	N19 3RQ	Hillrise	North		
529768185198	529768	185198	529768	185198	Hilldrop Crescent	N7 0JD	St George's	#N/A		
529768185369	529768	185369	529768	185369	Hilldrop Road	N7 0JE	St George's	#N/A		
529768185527	529768	185527	529768.9	185527.2	Carleton Road	N7 0EQ	St George's	#N/A		
529769186733	529769	186733	529769	186733	Fairbridge Road	N19 3HZ	Junction	North		
529769187270	529769	187270	529769	187270	St John's Way	N19 3RL	Hillrise	North		
529770187729	529770	187729	529770	187729	New Orleans Walk	N19 3UF	Hillrise	North		
529772185609	529772	185609	529772.1	185609.3	Dalmeny Road	N7 0HJ	St George's	#N/A		
529775186302	529775	186302	529775	186302	Yerbury Road	N19 4RW	Junction	North		
529814185701	529814	185701	529814	185701	Anson Road	N7 0AA	St George's	#N/A		
529821185660	529821	185660	529821.4	185660.8	Dalmeny Road	N7 0HA	St George's	#N/A		
529821187073	529821	187073	529821	187073	Nicholay Road	N19 3EZ	Hillrise	North		
529824185953	529824	185953	529824	185953	Tufnell Park Road	N7 0PS	St George's	#N/A		
529826185041	529826	185041	529826	185041	Camden Road	N7 0HR	St George's	#N/A		
529826186214	529826	186214	529826	186214	Beversbrook Road	N19 4QH	St George's	#N/A		
529836186665	529836	186665	529836.4	186665.1	Marlborough Road		Tollington	North		
529839185663	529839	185663	529839	185663	Dalmeny Road		St George's	#N/A		
529848187361	529848	187361	529848	187361	St John's Way	N19 3RJ	Hillrise	North		
529849186683	529849	186683	529849	186683	Marlborough Road		Tollington	North		
529853186273	529853	186273	529853	186273	Yerbury Road	N19 4RN	St George's	#N/A		
529854185304	529854	185304	529854	185304	Hilldrop Crescent	N7 0HY	St George's	#N/A		
529856187696	529856	187696	529856	187696	New Orleans Walk		Hillrise	North		
